Identifier,Location,Year,Habitat,count,Family,Species,length,a,b,abundance.500m2,biomass.kgha,mass.g,FG.fine,FG.coarse,lat,lon,Management,Island,state
36822,Cousin Carbonate,2008,Carbonate,1,Siganidae,Siganus puelloides,26,0.0131,3.088,3.25,19.92,307.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37068,Cousin Carbonate,2008,Carbonate,1,Siganidae,Siganus sutor,18,0.0131,3.088,3.25,6.40,99.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24702,Cousin Carbonate,2008,Carbonate,2,Acanthuridae,Acanthurus leucosternon,20,0.1317,2.392,3.25,11.07,170.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24882,Cousin Carbonate,2008,Carbonate,2,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24883,Cousin Carbonate,2008,Carbonate,2,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25982,Cousin Carbonate,2008,Carbonate,2,Acanthuridae,Naso elegans,38,0.0497,2.839,3.25,98.63,1518.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25983,Cousin Carbonate,2008,Carbonate,2,Acanthuridae,Naso elegans,32,0.0497,2.839,3.25,60.55,932.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
26256,Cousin Carbonate,2008,Carbonate,2,Chaetodontidae,Chaetodon auriga,12,0.0312,2.953,3.25,3.12,48.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
27172,Cousin Carbonate,2008,Carbonate,2,Labridae,Cheilinus trilobatus,20,0.021,2.972,3.25,10.04,154.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
27566,Cousin Carbonate,2008,Carbonate,2,Labridae,Gomphosus caeruleus,20,0.0177,3,3.25,9.20,142.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28031,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,14,0.0215,3,3.25,3.83,59.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28032,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,13,0.0215,3,3.25,3.07,47.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28033,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,10,0.0215,3,3.25,1.40,22.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28034,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,9,0.0215,3,3.25,1.02,16.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28035,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,9,0.0215,3,3.25,1.02,16.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28036,Cousin Carbonate,2008,Carbonate,2,Labridae,Halichoeres marginatus,8,0.0215,3,3.25,0.72,11.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28267,Cousin Carbonate,2008,Carbonate,2,Labridae,Hemigymnus fasciatus,19,0.0289,3,3.25,12.88,198.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28534,Cousin Carbonate,2008,Carbonate,2,Labridae,Labroides dimidiatus,10,0.0076,3.105,3.25,0.63,10.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28535,Cousin Carbonate,2008,Carbonate,2,Labridae,Labroides dimidiatus,9,0.0076,3.105,3.25,0.45,7.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28902,Cousin Carbonate,2008,Carbonate,2,Labridae,Thalassoma hebraicum,15,0.0183,2.862,3.25,2.76,43.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
30727,Cousin Carbonate,2008,Carbonate,2,Mullidae,Parupeneus macronemus,20,0.0052,3.381,3.25,8.46,130.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
31803,Cousin Carbonate,2008,Carbonate,2,Pomacanthidae,Pomacanthus semicirculatus,15,0.0286,3,3.25,6.27,97.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
34104,Cousin Carbonate,2008,Carbonate,2,Scaridae,Calotomus carolinus,20,0.0122,3.167,3.25,10.46,161.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34332,Cousin Carbonate,2008,Carbonate,2,Scaridae,Chlorurus sordidus,29,0.0182,3.15,3.25,47.78,736.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34333,Cousin Carbonate,2008,Carbonate,2,Scaridae,Chlorurus sordidus,14,0.0182,3.15,3.25,4.82,74.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34334,Cousin Carbonate,2008,Carbonate,2,Scaridae,Chlorurus sordidus,19,0.0182,3.15,3.25,12.61,194.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34335,Cousin Carbonate,2008,Carbonate,2,Scaridae,Chlorurus sordidus,14,0.0182,3.15,3.25,4.82,74.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
35067,Cousin Carbonate,2008,Carbonate,2,Scaridae,Leptoscarus vaigiensis,19,0.0173,2.965,3.25,6.95,107.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
35068,Cousin Carbonate,2008,Carbonate,2,Scaridae,Leptoscarus vaigiensis,14,0.0173,2.965,3.25,2.81,43.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36209,Cousin Carbonate,2008,Carbonate,2,Scaridae,Scarus rubroviolaceus,48,0.0136,3.109,3.25,149.00,2294.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36210,Cousin Carbonate,2008,Carbonate,2,Scaridae,Scarus rubroviolaceus,33,0.0136,3.109,3.25,46.48,715.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37069,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37070,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37071,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37072,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37073,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37074,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37075,Cousin Carbonate,2008,Carbonate,2,Siganidae,Siganus sutor,21,0.0131,3.088,3.25,10.30,159.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24703,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Acanthurus leucosternon,19,0.1317,2.392,3.25,9.80,151.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24704,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Acanthurus leucosternon,15,0.1317,2.392,3.25,5.56,86.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24884,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25610,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Ctenochaetus striatus,19,0.0254,3.027,3.25,12.25,189.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25611,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Ctenochaetus striatus,24,0.0254,3.027,3.25,24.85,383.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25984,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Naso elegans,38,0.0497,2.839,3.25,98.63,1518.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25985,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Naso elegans,33,0.0497,2.839,3.25,66.08,1017.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25986,Cousin Carbonate,2008,Carbonate,3,Acanthuridae,Naso elegans,32,0.0497,2.839,3.25,60.55,932.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
27173,Cousin Carbonate,2008,Carbonate,3,Labridae,Cheilinus trilobatus,20,0.021,2.972,3.25,10.04,154.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
27517,Cousin Carbonate,2008,Carbonate,3,Labridae,Epibulus insidiator,15,0.0296,3,3.25,6.49,100.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29834,Cousin Carbonate,2008,Carbonate,3,Lutjanidae,Lutjanus fulviflamma,21,0.0239,2.906,3.25,10.80,166.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
34105,Cousin Carbonate,2008,Carbonate,3,Scaridae,Calotomus carolinus,28,0.0122,3.167,3.25,30.35,467.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
35425,Cousin Carbonate,2008,Carbonate,3,Scaridae,Scarus niger,31,0.0142,3.14,3.25,44.44,684.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36823,Cousin Carbonate,2008,Carbonate,3,Siganidae,Siganus puelloides,25,0.0131,3.088,3.25,17.65,272.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36824,Cousin Carbonate,2008,Carbonate,3,Siganidae,Siganus puelloides,24,0.0131,3.088,3.25,15.56,240.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37076,Cousin Carbonate,2008,Carbonate,3,Siganidae,Siganus sutor,20,0.0131,3.088,3.25,8.86,136.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24705,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus leucosternon,14,0.1317,2.392,3.25,4.72,73.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24706,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus leucosternon,17,0.1317,2.392,3.25,7.51,116.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24707,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus leucosternon,16,0.1317,2.392,3.25,6.49,100.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24708,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus leucosternon,15,0.1317,2.392,3.25,5.56,86.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24885,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24886,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25612,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Ctenochaetus striatus,23,0.0254,3.027,3.25,21.85,336.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25613,Cousin Carbonate,2008,Carbonate,4,Acanthuridae,Ctenochaetus striatus,22,0.0254,3.027,3.25,19.10,294.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
26257,Cousin Carbonate,2008,Carbonate,4,Chaetodontidae,Chaetodon auriga,13,0.0312,2.953,3.25,3.95,61.0,Mixed-diet Feeder,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
26934,Cousin Carbonate,2008,Carbonate,4,Haemulidae,Plectorhinchus gibbosus,48,0.0396,2.761,3.25,112.79,1736.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
27174,Cousin Carbonate,2008,Carbonate,4,Labridae,Cheilinus trilobatus,34,0.021,2.972,3.25,48.58,748.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
27754,Cousin Carbonate,2008,Carbonate,4,Labridae,Halichoeres hortulanus,15,0.0222,3,3.25,4.87,75.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28037,Cousin Carbonate,2008,Carbonate,4,Labridae,Halichoeres marginatus,14,0.0215,3,3.25,3.83,59.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28038,Cousin Carbonate,2008,Carbonate,4,Labridae,Halichoeres marginatus,16,0.0215,3,3.25,5.72,88.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28039,Cousin Carbonate,2008,Carbonate,4,Labridae,Halichoeres marginatus,17,0.0215,3,3.25,6.86,106.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
28903,Cousin Carbonate,2008,Carbonate,4,Labridae,Thalassoma hebraicum,13,0.0183,2.862,3.25,1.83,28.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
29835,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,21,0.0239,2.906,3.25,10.80,166.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29836,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,21,0.0239,2.906,3.25,10.80,166.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29837,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,21,0.0239,2.906,3.25,10.80,166.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29838,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,19,0.0239,2.906,3.25,8.07,124.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29839,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,19,0.0239,2.906,3.25,8.07,124.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29840,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,19,0.0239,2.906,3.25,8.07,124.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
29841,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus fulviflamma,24,0.0239,2.906,3.25,15.92,245.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
30066,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus gibbus,19,0.0153,3.091,3.25,8.91,137.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
30067,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus gibbus,19,0.0153,3.091,3.25,8.91,137.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
30068,Cousin Carbonate,2008,Carbonate,4,Lutjanidae,Lutjanus gibbus,19,0.0153,3.091,3.25,8.91,137.0,Invertivore & Piscivore,Mixed-diet Feeder,-4.332921,55.658746,Protected,Cousin,Shifted
30520,Cousin Carbonate,2008,Carbonate,4,Mullidae,Parupeneus barberinus,18,0.0151,3.078,3.25,7.17,110.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
30728,Cousin Carbonate,2008,Carbonate,4,Mullidae,Parupeneus macronemus,16,0.0052,3.381,3.25,3.98,61.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
31804,Cousin Carbonate,2008,Carbonate,4,Pomacanthidae,Pomacanthus semicirculatus,19,0.0286,3,3.25,12.74,196.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
31805,Cousin Carbonate,2008,Carbonate,4,Pomacanthidae,Pomacanthus semicirculatus,14,0.0286,3,3.25,5.10,78.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
34106,Cousin Carbonate,2008,Carbonate,4,Scaridae,Calotomus carolinus,26,0.0122,3.167,3.25,24.00,369.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34107,Cousin Carbonate,2008,Carbonate,4,Scaridae,Calotomus carolinus,34,0.0122,3.167,3.25,56.13,864.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34336,Cousin Carbonate,2008,Carbonate,4,Scaridae,Chlorurus sordidus,30,0.0182,3.15,3.25,53.17,818.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
34337,Cousin Carbonate,2008,Carbonate,4,Scaridae,Chlorurus sordidus,23,0.0182,3.15,3.25,23.02,354.0,Herbivore Excavator,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36211,Cousin Carbonate,2008,Carbonate,4,Scaridae,Scarus rubroviolaceus,33,0.0136,3.109,3.25,46.48,715.0,Herbivore Scraper,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36716,Cousin Carbonate,2008,Carbonate,4,Siganidae,Siganus argenteus,22,0.0131,3.088,3.25,11.89,183.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
36825,Cousin Carbonate,2008,Carbonate,4,Siganidae,Siganus puelloides,25,0.0131,3.088,3.25,17.65,272.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37077,Cousin Carbonate,2008,Carbonate,4,Siganidae,Siganus sutor,20,0.0131,3.088,3.25,8.86,136.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
37381,Cousin Carbonate,2008,Carbonate,4,Zanclidae,Zanclus cornutus,15,0.0172,3.171,3.25,5.99,92.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
37382,Cousin Carbonate,2008,Carbonate,4,Zanclidae,Zanclus cornutus,16,0.0172,3.171,3.25,7.35,113.0,Invertivore,Invertivore,-4.332921,55.658746,Protected,Cousin,Shifted
24834,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Acanthurus lineatus,23,0.0126,3.064,3.25,12.17,187.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24835,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Acanthurus lineatus,23,0.0126,3.064,3.25,12.17,187.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24836,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Acanthurus lineatus,20,0.0126,3.064,3.25,7.93,122.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
24887,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Acanthurus nigrofuscus,14,0.0301,2.967,3.25,4.92,76.0,Herbivore Grazer,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25987,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Naso elegans,36,0.0497,2.839,3.25,84.60,1302.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
25988,Cousin Carbonate,2008,Carbonate,5,Acanthuridae,Naso elegans,40,0.0497,2.839,3.25,114.09,1756.0,Herbivore Browser,Herbivore,-4.332921,55.658746,Protected,Cousin,Shifted
